,Unnamed: 0,Country,Year,Month,Pollutant,GHG,Element,Temperature
34566,34836,Chile,2006,April,Carbon dioxide,62161.385,Temperature change,0.243
34568,34838,Chile,2006,May,Carbon dioxide,62161.385,Temperature change,0.223
34570,34840,Chile,2006,June,Carbon dioxide,62161.385,Temperature change,0.747
34572,34842,Chile,2006,July,Carbon dioxide,62161.385,Temperature change,1.172
34574,34844,Chile,2006,August,Carbon dioxide,62161.385,Temperature change,0.431
34576,34846,Chile,2006,September,Carbon dioxide,62161.385,Temperature change,0.565
34578,34848,Chile,2006,October,Carbon dioxide,62161.385,Temperature change,0.69
34580,34850,Chile,2006,November,Carbon dioxide,62161.385,Temperature change,0.147
34582,34852,Chile,2006,December,Carbon dioxide,62161.385,Temperature change,-0.008
34584,34854,Chile,2007,January,Carbon dioxide,71025.136,Temperature change,0.498
34586,34856,Chile,2007,February,Carbon dioxide,71025.136,Temperature change,-0.168
34588,34858,Chile,2007,March,Carbon dioxide,71025.136,Temperature change,0.5329999999999999
34590,34860,Chile,2007,April,Carbon dioxide,71025.136,Temperature change,-0.04
34592,34862,Chile,2007,May,Carbon dioxide,71025.136,Temperature change,-1.248
34594,34864,Chile,2007,June,Carbon dioxide,71025.136,Temperature change,-0.629
34596,34866,Chile,2007,July,Carbon dioxide,71025.136,Temperature change,-0.792
34598,34868,Chile,2007,August,Carbon dioxide,71025.136,Temperature change,-1.3219999999999998
34600,34870,Chile,2007,September,Carbon dioxide,71025.136,Temperature change,0.006
34602,34872,Chile,2007,October,Carbon dioxide,71025.136,Temperature change,-0.10300000000000001
34604,34874,Chile,2007,November,Carbon dioxide,71025.136,Temperature change,-0.644
34606,34876,Chile,2007,December,Carbon dioxide,71025.136,Temperature change,-0.248
34608,34878,Chile,2008,January,Carbon dioxide,71969.709,Temperature change,0.932
34610,34880,Chile,2008,February,Carbon dioxide,71969.709,Temperature change,1.247
34612,34882,Chile,2008,March,Carbon dioxide,71969.709,Temperature change,0.82
34614,34884,Chile,2008,April,Carbon dioxide,71969.709,Temperature change,0.305
34616,34886,Chile,2008,May,Carbon dioxide,71969.709,Temperature change,-0.594
34618,34888,Chile,2008,June,Carbon dioxide,71969.709,Temperature change,-0.017
34620,34890,Chile,2008,July,Carbon dioxide,71969.709,Temperature change,0.605
34622,34892,Chile,2008,August,Carbon dioxide,71969.709,Temperature change,-0.268
34624,34894,Chile,2008,September,Carbon dioxide,71969.709,Temperature change,0.5760000000000001
34626,34896,Chile,2008,October,Carbon dioxide,71969.709,Temperature change,0.49200000000000005
34628,34898,Chile,2008,November,Carbon dioxide,71969.709,Temperature change,0.747
34630,34900,Chile,2008,December,Carbon dioxide,71969.709,Temperature change,1.1059999999999999
34632,34902,Chile,2009,January,Carbon dioxide,68853.759,Temperature change,0.583
34634,34904,Chile,2009,February,Carbon dioxide,68853.759,Temperature change,0.498
34636,34906,Chile,2009,March,Carbon dioxide,68853.759,Temperature change,1.0290000000000001
34638,34908,Chile,2009,April,Carbon dioxide,68853.759,Temperature change,1.43
34640,34910,Chile,2009,May,Carbon dioxide,68853.759,Temperature change,0.657
34642,34912,Chile,2009,June,Carbon dioxide,68853.759,Temperature change,0.502
34644,34914,Chile,2009,July,Carbon dioxide,68853.759,Temperature change,0.001
34646,34916,Chile,2009,August,Carbon dioxide,68853.759,Temperature change,0.76
34648,34918,Chile,2009,September,Carbon dioxide,68853.759,Temperature change,-0.163
34650,34920,Chile,2009,October,Carbon dioxide,68853.759,Temperature change,-0.223
34652,34922,Chile,2009,November,Carbon dioxide,68853.759,Temperature change,-1.29
34654,34924,Chile,2009,December,Carbon dioxide,68853.759,Temperature change,-0.35700000000000004
34656,34926,Chile,2010,January,Carbon dioxide,70137.101,Temperature change,-0.12300000000000001
34658,34928,Chile,2010,February,Carbon dioxide,70137.101,Temperature change,-0.503
34660,34930,Chile,2010,March,Carbon dioxide,70137.101,Temperature change,0.8290000000000001
34662,34932,Chile,2010,April,Carbon dioxide,70137.101,Temperature change,0.171
34664,34934,Chile,2010,May,Carbon dioxide,70137.101,Temperature change,0.04
34666,34936,Chile,2010,June,Carbon dioxide,70137.101,Temperature change,0.20199999999999999
34668,34938,Chile,2010,July,Carbon dioxide,70137.101,Temperature change,-1.057
34670,34940,Chile,2010,August,Carbon dioxide,70137.101,Temperature change,-0.604
34672,34942,Chile,2010,September,Carbon dioxide,70137.101,Temperature change,0.055
34674,34944,Chile,2010,October,Carbon dioxide,70137.101,Temperature change,0.324
34676,34946,Chile,2010,November,Carbon dioxide,70137.101,Temperature change,-0.067
34678,34948,Chile,2010,December,Carbon dioxide,70137.101,Temperature change,-0.737
34680,34950,Chile,2011,January,Carbon dioxide,78389.533,Temperature change,0.133
34682,34952,Chile,2011,February,Carbon dioxide,78389.533,Temperature change,0.629
34684,34954,Chile,2011,March,Carbon dioxide,78389.533,Temperature change,0.134
34686,34956,Chile,2011,April,Carbon dioxide,78389.533,Temperature change,0.126
34688,34958,Chile,2011,May,Carbon dioxide,78389.533,Temperature change,0.11800000000000001
34690,34960,Chile,2011,June,Carbon dioxide,78389.533,Temperature change,0.5770000000000001
34692,34962,Chile,2011,July,Carbon dioxide,78389.533,Temperature change,-0.251
34694,34964,Chile,2011,August,Carbon dioxide,78389.533,Temperature change,-0.506
34696,34966,Chile,2011,September,Carbon dioxide,78389.533,Temperature change,0.546
34698,34968,Chile,2011,October,Carbon dioxide,78389.533,Temperature change,0.183
34700,34970,Chile,2011,November,Carbon dioxide,78389.533,Temperature change,0.28300000000000003
34702,34972,Chile,2011,December,Carbon dioxide,78389.533,Temperature change,1.121
34704,34974,Chile,2012,January,Carbon dioxide,82186.189,Temperature change,1.131
34706,34976,Chile,2012,February,Carbon dioxide,82186.189,Temperature change,0.28800000000000003
34708,34978,Chile,2012,March,Carbon dioxide,82186.189,Temperature change,1.115
34710,34980,Chile,2012,April,Carbon dioxide,82186.189,Temperature change,0.469
34712,34982,Chile,2012,May,Carbon dioxide,82186.189,Temperature change,0.486
34714,34984,Chile,2012,June,Carbon dioxide,82186.189,Temperature change,0.479
34716,34986,Chile,2012,July,Carbon dioxide,82186.189,Temperature change,-0.182
34718,34988,Chile,2012,August,Carbon dioxide,82186.189,Temperature change,0.507
34720,34990,Chile,2012,September,Carbon dioxide,82186.189,Temperature change,0.9520000000000001
34722,34992,Chile,2012,October,Carbon dioxide,82186.189,Temperature change,0.08800000000000001
34724,34994,Chile,2012,November,Carbon dioxide,82186.189,Temperature change,0.46799999999999997
34726,34996,Chile,2012,December,Carbon dioxide,82186.189,Temperature change,-0.5720000000000001
34728,34998,Chile,2013,January,Carbon dioxide,81007.679,Temperature change,1.3319999999999999
34730,35000,Chile,2013,February,Carbon dioxide,81007.679,Temperature change,0.831
34732,35002,Chile,2013,March,Carbon dioxide,81007.679,Temperature change,-0.055
34734,35004,Chile,2013,April,Carbon dioxide,81007.679,Temperature change,0.8590000000000001
34736,35006,Chile,2013,May,Carbon dioxide,81007.679,Temperature change,0.53
34738,35008,Chile,2013,June,Carbon dioxide,81007.679,Temperature change,0.8290000000000001
34740,35010,Chile,2013,July,Carbon dioxide,81007.679,Temperature change,0.203
34742,35012,Chile,2013,August,Carbon dioxide,81007.679,Temperature change,-0.354
34744,35014,Chile,2013,September,Carbon dioxide,81007.679,Temperature change,-0.141
34746,35016,Chile,2013,October,Carbon dioxide,81007.679,Temperature change,0.5379999999999999
34748,35018,Chile,2013,November,Carbon dioxide,81007.679,Temperature change,-0.207
34750,35020,Chile,2013,December,Carbon dioxide,81007.679,Temperature change,0.654
34752,35022,Chile,2014,January,Carbon dioxide,78032.24,Temperature change,0.22399999999999998
34754,35024,Chile,2014,February,Carbon dioxide,78032.24,Temperature change,-0.07200000000000001
34756,35026,Chile,2014,March,Carbon dioxide,78032.24,Temperature change,-0.41
34758,35028,Chile,2014,April,Carbon dioxide,78032.24,Temperature change,0.061
34760,35030,Chile,2014,May,Carbon dioxide,78032.24,Temperature change,0.515
34762,35032,Chile,2014,June,Carbon dioxide,78032.24,Temperature change,0.376
34764,35034,Chile,2014,July,Carbon dioxide,78032.24,Temperature change,0.34700000000000003
34766,35036,Chile,2014,August,Carbon dioxide,78032.24,Temperature change,1.3159999999999998
34768,35038,Chile,2014,September,Carbon dioxide,78032.24,Temperature change,0.728
34770,35040,Chile,2014,October,Carbon dioxide,78032.24,Temperature change,1.045
34772,35042,Chile,2014,November,Carbon dioxide,78032.24,Temperature change,-0.249
34774,35044,Chile,2014,December,Carbon dioxide,78032.24,Temperature change,-0.23
34776,35046,Chile,2015,January,Carbon dioxide,84565.54199999999,Temperature change,0.541
34778,35048,Chile,2015,February,Carbon dioxide,84565.54199999999,Temperature change,0.635
34780,35050,Chile,2015,March,Carbon dioxide,84565.54199999999,Temperature change,1.5919999999999999
34782,35052,Chile,2015,April,Carbon dioxide,84565.54199999999,Temperature change,1.51
34784,35054,Chile,2015,May,Carbon dioxide,84565.54199999999,Temperature change,1.133
34786,35056,Chile,2015,June,Carbon dioxide,84565.54199999999,Temperature change,1.242
34788,35058,Chile,2015,July,Carbon dioxide,84565.54199999999,Temperature change,0.904
34790,35060,Chile,2015,August,Carbon dioxide,84565.54199999999,Temperature change,1.0859999999999999
34792,35062,Chile,2015,September,Carbon dioxide,84565.54199999999,Temperature change,0.534
34794,35064,Chile,2015,October,Carbon dioxide,84565.54199999999,Temperature change,-0.366
34796,35066,Chile,2015,November,Carbon dioxide,84565.54199999999,Temperature change,-0.165
34798,35068,Chile,2015,December,Carbon dioxide,84565.54199999999,Temperature change,0.215
34800,35070,Chile,2016,January,Carbon dioxide,87889.339,Temperature change,1.07
34802,35072,Chile,2016,February,Carbon dioxide,87889.339,Temperature change,1.042
34804,35074,Chile,2016,March,Carbon dioxide,87889.339,Temperature change,1.347
34806,35076,Chile,2016,April,Carbon dioxide,87889.339,Temperature change,-0.07200000000000001
34808,35078,Chile,2016,May,Carbon dioxide,87889.339,Temperature change,0.669
34810,35080,Chile,2016,June,Carbon dioxide,87889.339,Temperature change,0.669
34812,35082,Chile,2016,July,Carbon dioxide,87889.339,Temperature change,0.845
34814,35084,Chile,2016,August,Carbon dioxide,87889.339,Temperature change,1.296
34816,35086,Chile,2016,September,Carbon dioxide,87889.339,Temperature change,1.27
34818,35088,Chile,2016,October,Carbon dioxide,87889.339,Temperature change,0.888
34820,35090,Chile,2016,November,Carbon dioxide,87889.339,Temperature change,0.7909999999999999
34822,35092,Chile,2016,December,Carbon dioxide,87889.339,Temperature change,0.498
34824,35094,Chile,1990,January,Methane,12894.522,Temperature change,0.18
34826,35096,Chile,1990,February,Methane,12894.522,Temperature change,0.653
34828,35098,Chile,1990,March,Methane,12894.522,Temperature change,-0.086
34830,35100,Chile,1990,April,Methane,12894.522,Temperature change,-0.336
34832,35102,Chile,1990,May,Methane,12894.522,Temperature change,0.055
34834,35104,Chile,1990,June,Methane,12894.522,Temperature change,0.264
34836,35106,Chile,1990,July,Methane,12894.522,Temperature change,0.28
34838,35108,Chile,1990,August,Methane,12894.522,Temperature change,0.6990000000000001
34840,35110,Chile,1990,September,Methane,12894.522,Temperature change,0.18899999999999997
34842,35112,Chile,1990,October,Methane,12894.522,Temperature change,0.35200000000000004
34844,35114,Chile,1990,November,Methane,12894.522,Temperature change,-0.308
34846,35116,Chile,1990,December,Methane,12894.522,Temperature change,-0.293
34848,35118,Chile,1991,January,Methane,12701.47,Temperature change,0.018000000000000002
34850,35120,Chile,1991,February,Methane,12701.47,Temperature change,0.16
34852,35122,Chile,1991,March,Methane,12701.47,Temperature change,0.19899999999999998
34854,35124,Chile,1991,April,Methane,12701.47,Temperature change,0.452
34856,35126,Chile,1991,May,Methane,12701.47,Temperature change,0.478
34858,35128,Chile,1991,June,Methane,12701.47,Temperature change,0.218
34860,35130,Chile,1991,July,Methane,12701.47,Temperature change,-0.107
34862,35132,Chile,1991,August,Methane,12701.47,Temperature change,-0.508
34864,35134,Chile,1991,September,Methane,12701.47,Temperature change,0.527
34866,35136,Chile,1991,October,Methane,12701.47,Temperature change,-0.302
34868,35138,Chile,1991,November,Methane,12701.47,Temperature change,-0.10300000000000001
34870,35140,Chile,1991,December,Methane,12701.47,Temperature change,-1.084
34872,35142,Chile,1992,January,Methane,12840.843,Temperature change,0.7340000000000001
34874,35144,Chile,1992,February,Methane,12840.843,Temperature change,-0.39299999999999996
34876,35146,Chile,1992,March,Methane,12840.843,Temperature change,1.024
34878,35148,Chile,1992,April,Methane,12840.843,Temperature change,0.309
34880,35150,Chile,1992,May,Methane,12840.843,Temperature change,-0.156
34882,35152,Chile,1992,June,Methane,12840.843,Temperature change,-0.47700000000000004
34884,35154,Chile,1992,July,Methane,12840.843,Temperature change,-1.3259999999999998
34886,35156,Chile,1992,August,Methane,12840.843,Temperature change,0.045
34888,35158,Chile,1992,September,Methane,12840.843,Temperature change,-0.14300000000000002
34890,35160,Chile,1992,October,Methane,12840.843,Temperature change,-0.185
34892,35162,Chile,1992,November,Methane,12840.843,Temperature change,0.071
34894,35164,Chile,1992,December,Methane,12840.843,Temperature change,0.001
34896,35166,Chile,1993,January,Methane,13027.538,Temperature change,0.071
34898,35168,Chile,1993,February,Methane,13027.538,Temperature change,0.42200000000000004
34900,35170,Chile,1993,March,Methane,13027.538,Temperature change,0.5820000000000001
34902,35172,Chile,1993,April,Methane,13027.538,Temperature change,0.145
34904,35174,Chile,1993,May,Methane,13027.538,Temperature change,-0.478
34906,35176,Chile,1993,June,Methane,13027.538,Temperature change,-0.16399999999999998
34908,35178,Chile,1993,July,Methane,13027.538,Temperature change,-0.16699999999999998
34910,35180,Chile,1993,August,Methane,13027.538,Temperature change,0.6509999999999999
34912,35182,Chile,1993,September,Methane,13027.538,Temperature change,0.297
34914,35184,Chile,1993,October,Methane,13027.538,Temperature change,0.59
34916,35186,Chile,1993,November,Methane,13027.538,Temperature change,-0.027999999999999997
34918,35188,Chile,1993,December,Methane,13027.538,Temperature change,-0.23800000000000002
34920,35190,Chile,1994,January,Methane,13402.774,Temperature change,0.578
34922,35192,Chile,1994,February,Methane,13402.774,Temperature change,-0.467
34924,35194,Chile,1994,March,Methane,13402.774,Temperature change,0.431
34926,35196,Chile,1994,April,Methane,13402.774,Temperature change,0.182
34928,35198,Chile,1994,May,Methane,13402.774,Temperature change,0.184
34930,35200,Chile,1994,June,Methane,13402.774,Temperature change,0.903
34932,35202,Chile,1994,July,Methane,13402.774,Temperature change,-0.28
34934,35204,Chile,1994,August,Methane,13402.774,Temperature change,0.179
34936,35206,Chile,1994,September,Methane,13402.774,Temperature change,0.361
34938,35208,Chile,1994,October,Methane,13402.774,Temperature change,0.18899999999999997
34940,35210,Chile,1994,November,Methane,13402.774,Temperature change,0.213
34942,35212,Chile,1994,December,Methane,13402.774,Temperature change,0.619
34944,35214,Chile,1995,January,Methane,13483.688999999997,Temperature change,-0.159
34946,35216,Chile,1995,February,Methane,13483.688999999997,Temperature change,-0.19899999999999998
34948,35218,Chile,1995,March,Methane,13483.688999999997,Temperature change,-0.23600000000000002
34950,35220,Chile,1995,April,Methane,13483.688999999997,Temperature change,0.616
34952,35222,Chile,1995,May,Methane,13483.688999999997,Temperature change,0.619
34954,35224,Chile,1995,June,Methane,13483.688999999997,Temperature change,0.098
34956,35226,Chile,1995,July,Methane,13483.688999999997,Temperature change,-1.3230000000000002
34958,35228,Chile,1995,August,Methane,13483.688999999997,Temperature change,-1.095
34960,35230,Chile,1995,September,Methane,13483.688999999997,Temperature change,-0.127
34962,35232,Chile,1995,October,Methane,13483.688999999997,Temperature change,0.163
34964,35234,Chile,1995,November,Methane,13483.688999999997,Temperature change,-0.008
34966,35236,Chile,1995,December,Methane,13483.688999999997,Temperature change,0.981
34968,35238,Chile,1996,January,Methane,13628.686000000003,Temperature change,-0.528
34970,35240,Chile,1996,February,Methane,13628.686000000003,Temperature change,-0.621
34972,35242,Chile,1996,March,Methane,13628.686000000003,Temperature change,0.245
34974,35244,Chile,1996,April,Methane,13628.686000000003,Temperature change,-0.375
34976,35246,Chile,1996,May,Methane,13628.686000000003,Temperature change,0.6940000000000001
34978,35248,Chile,1996,June,Methane,13628.686000000003,Temperature change,-0.7559999999999999
34980,35250,Chile,1996,July,Methane,13628.686000000003,Temperature change,0.633
34982,35252,Chile,1996,August,Methane,13628.686000000003,Temperature change,0.659
34984,35254,Chile,1996,September,Methane,13628.686000000003,Temperature change,0.797
34986,35256,Chile,1996,October,Methane,13628.686000000003,Temperature change,0.247
34988,35258,Chile,1996,November,Methane,13628.686000000003,Temperature change,0.087
34990,35260,Chile,1996,December,Methane,13628.686000000003,Temperature change,0.23399999999999999
34992,35262,Chile,1997,January,Methane,14147.864,Temperature change,0.42
34994,35264,Chile,1997,February,Methane,14147.864,Temperature change,-0.821
34996,35266,Chile,1997,March,Methane,14147.864,Temperature change,0.7190000000000001
34998,35268,Chile,1997,April,Methane,14147.864,Temperature change,1.102
35000,35270,Chile,1997,May,Methane,14147.864,Temperature change,1.162
35002,35272,Chile,1997,June,Methane,14147.864,Temperature change,1.517
35004,35274,Chile,1997,July,Methane,14147.864,Temperature change,1.126
35006,35276,Chile,1997,August,Methane,14147.864,Temperature change,1.3880000000000001
35008,35278,Chile,1997,September,Methane,14147.864,Temperature change,0.721
35010,35280,Chile,1997,October,Methane,14147.864,Temperature change,0.12
35012,35282,Chile,1997,November,Methane,14147.864,Temperature change,0.39399999999999996
35014,35284,Chile,1997,December,Methane,14147.864,Temperature change,0.444
35016,35286,Chile,1998,January,Methane,14121.221,Temperature change,0.561
35018,35288,Chile,1998,February,Methane,14121.221,Temperature change,0.787
35020,35290,Chile,1998,March,Methane,14121.221,Temperature change,0.654
35022,35292,Chile,1998,April,Methane,14121.221,Temperature change,0.9129999999999999
35024,35294,Chile,1998,May,Methane,14121.221,Temperature change,1.235
35026,35296,Chile,1998,June,Methane,14121.221,Temperature change,1.206
35028,35298,Chile,1998,July,Methane,14121.221,Temperature change,1.367
35030,35300,Chile,1998,August,Methane,14121.221,Temperature change,0.41100000000000003
35032,35302,Chile,1998,September,Methane,14121.221,Temperature change,-0.555
35034,35304,Chile,1998,October,Methane,14121.221,Temperature change,0.638
35036,35306,Chile,1998,November,Methane,14121.221,Temperature change,-0.096
35038,35308,Chile,1998,December,Methane,14121.221,Temperature change,0.149
35040,35310,Chile,1999,January,Methane,14308.808,Temperature change,-0.034
35042,35312,Chile,1999,February,Methane,14308.808,Temperature change,0.607
35044,35314,Chile,1999,March,Methane,14308.808,Temperature change,-0.07
35046,35316,Chile,1999,April,Methane,14308.808,Temperature change,-0.131
35048,35318,Chile,1999,May,Methane,14308.808,Temperature change,0.192
35050,35320,Chile,1999,June,Methane,14308.808,Temperature change,-0.358
35052,35322,Chile,1999,July,Methane,14308.808,Temperature change,0.03
35054,35324,Chile,1999,August,Methane,14308.808,Temperature change,0.484
35056,35326,Chile,1999,September,Methane,14308.808,Temperature change,0.505
35058,35328,Chile,1999,October,Methane,14308.808,Temperature change,0.622
35060,35330,Chile,1999,November,Methane,14308.808,Temperature change,0.331
35062,35332,Chile,1999,December,Methane,14308.808,Temperature change,-0.21100000000000002
35064,35334,Chile,2000,January,Methane,14623.652,Temperature change,-0.039
35066,35336,Chile,2000,February,Methane,14623.652,Temperature change,-0.49700000000000005
35068,35338,Chile,2000,March,Methane,14623.652,Temperature change,-0.479
35070,35340,Chile,2000,April,Methane,14623.652,Temperature change,0.278
35072,35342,Chile,2000,May,Methane,14623.652,Temperature change,-0.205
35074,35344,Chile,2000,June,Methane,14623.652,Temperature change,0.055
35076,35346,Chile,2000,July,Methane,14623.652,Temperature change,-0.633
35078,35348,Chile,2000,August,Methane,14623.652,Temperature change,0.07400000000000001
35080,35350,Chile,2000,September,Methane,14623.652,Temperature change,-0.7859999999999999
35082,35352,Chile,2000,October,Methane,14623.652,Temperature change,0.023
35084,35354,Chile,2000,November,Methane,14623.652,Temperature change,-0.72
35086,35356,Chile,2000,December,Methane,14623.652,Temperature change,-0.183
35088,35358,Chile,2001,January,Methane,14837.546,Temperature change,0.001
35090,35360,Chile,2001,February,Methane,14837.546,Temperature change,0.34
35092,35362,Chile,2001,March,Methane,14837.546,Temperature change,-0.23399999999999999
35094,35364,Chile,2001,April,Methane,14837.546,Temperature change,-0.14800000000000002
35096,35366,Chile,2001,May,Methane,14837.546,Temperature change,-0.313
35098,35368,Chile,2001,June,Methane,14837.546,Temperature change,0.182
35100,35370,Chile,2001,July,Methane,14837.546,Temperature change,-0.34700000000000003
35102,35372,Chile,2001,August,Methane,14837.546,Temperature change,0.632
35104,35374,Chile,2001,September,Methane,14837.546,Temperature change,0.07200000000000001
35106,35376,Chile,2001,October,Methane,14837.546,Temperature change,0.609
35108,35378,Chile,2001,November,Methane,14837.546,Temperature change,-0.667
35110,35380,Chile,2001,December,Methane,14837.546,Temperature change,1.1340000000000001
35112,35382,Chile,2002,January,Methane,15215.278,Temperature change,0.251
35114,35384,Chile,2002,February,Methane,15215.278,Temperature change,0.46799999999999997
35116,35386,Chile,2002,March,Methane,15215.278,Temperature change,-0.33799999999999997
35118,35388,Chile,2002,April,Methane,15215.278,Temperature change,-0.032
35120,35390,Chile,2002,May,Methane,15215.278,Temperature change,-0.091
35122,35392,Chile,2002,June,Methane,15215.278,Temperature change,-1.411
35124,35394,Chile,2002,July,Methane,15215.278,Temperature change,0.39399999999999996
35126,35396,Chile,2002,August,Methane,15215.278,Temperature change,0.46399999999999997
35128,35398,Chile,2002,September,Methane,15215.278,Temperature change,0.243
35130,35400,Chile,2002,October,Methane,15215.278,Temperature change,-0.047
35132,35402,Chile,2002,November,Methane,15215.278,Temperature change,-0.17300000000000001
35134,35404,Chile,2002,December,Methane,15215.278,Temperature change,0.0
35136,35406,Chile,2003,January,Methane,15160.283,Temperature change,-0.011000000000000001
35138,35408,Chile,2003,February,Methane,15160.283,Temperature change,-0.099
35140,35410,Chile,2003,March,Methane,15160.283,Temperature change,0.218
35142,35412,Chile,2003,April,Methane,15160.283,Temperature change,-0.38799999999999996
35144,35414,Chile,2003,May,Methane,15160.283,Temperature change,0.43799999999999994
35146,35416,Chile,2003,June,Methane,15160.283,Temperature change,0.745
35148,35418,Chile,2003,July,Methane,15160.283,Temperature change,0.635
35150,35420,Chile,2003,August,Methane,15160.283,Temperature change,0.46299999999999997
35152,35422,Chile,2003,September,Methane,15160.283,Temperature change,0.251
35154,35424,Chile,2003,October,Methane,15160.283,Temperature change,0.667
35156,35426,Chile,2003,November,Methane,15160.283,Temperature change,0.245
35158,35428,Chile,2003,December,Methane,15160.283,Temperature change,-0.6759999999999999
35160,35430,Chile,2004,January,Methane,15394.087,Temperature change,0.684
35162,35432,Chile,2004,February,Methane,15394.087,Temperature change,0.757
35164,35434,Chile,2004,March,Methane,15394.087,Temperature change,0.973
35166,35436,Chile,2004,April,Methane,15394.087,Temperature change,0.736
35168,35438,Chile,2004,May,Methane,15394.087,Temperature change,-0.235
35170,35440,Chile,2004,June,Methane,15394.087,Temperature change,0.884
35172,35442,Chile,2004,July,Methane,15394.087,Temperature change,0.265
35174,35444,Chile,2004,August,Methane,15394.087,Temperature change,0.596
35176,35446,Chile,2004,September,Methane,15394.087,Temperature change,0.672
35178,35448,Chile,2004,October,Methane,15394.087,Temperature change,0.45
35180,35450,Chile,2004,November,Methane,15394.087,Temperature change,0.242
35182,35452,Chile,2004,December,Methane,15394.087,Temperature change,0.308
35184,35454,Chile,2005,January,Methane,15749.442,Temperature change,-0.016
35186,35456,Chile,2005,February,Methane,15749.442,Temperature change,1.2009999999999998
35188,35458,Chile,2005,March,Methane,15749.442,Temperature change,0.22699999999999998
35190,35460,Chile,2005,April,Methane,15749.442,Temperature change,-0.293
35192,35462,Chile,2005,May,Methane,15749.442,Temperature change,-0.532
35194,35464,Chile,2005,June,Methane,15749.442,Temperature change,-0.145
35196,35466,Chile,2005,July,Methane,15749.442,Temperature change,0.37200000000000005
35198,35468,Chile,2005,August,Methane,15749.442,Temperature change,0.25
35200,35470,Chile,2005,September,Methane,15749.442,Temperature change,-0.032
35202,35472,Chile,2005,October,Methane,15749.442,Temperature change,-0.23199999999999998
35204,35474,Chile,2005,November,Methane,15749.442,Temperature change,0.121
35206,35476,Chile,2005,December,Methane,15749.442,Temperature change,0.075
35208,35478,Chile,2006,January,Methane,15521.716,Temperature change,0.545
35210,35480,Chile,2006,February,Methane,15521.716,Temperature change,0.943
35212,35482,Chile,2006,March,Methane,15521.716,Temperature change,0.075
35214,35484,Chile,2006,April,Methane,15521.716,Temperature change,0.243
35216,35486,Chile,2006,May,Methane,15521.716,Temperature change,0.223
35218,35488,Chile,2006,June,Methane,15521.716,Temperature change,0.747
35220,35490,Chile,2006,July,Methane,15521.716,Temperature change,1.172
35222,35492,Chile,2006,August,Methane,15521.716,Temperature change,0.431
35224,35494,Chile,2006,September,Methane,15521.716,Temperature change,0.565
35226,35496,Chile,2006,October,Methane,15521.716,Temperature change,0.69
35228,35498,Chile,2006,November,Methane,15521.716,Temperature change,0.147
35230,35500,Chile,2006,December,Methane,15521.716,Temperature change,-0.008
35232,35502,Chile,2007,January,Methane,14914.823,Temperature change,0.498
35234,35504,Chile,2007,February,Methane,14914.823,Temperature change,-0.168
35236,35506,Chile,2007,March,Methane,14914.823,Temperature change,0.5329999999999999
35238,35508,Chile,2007,April,Methane,14914.823,Temperature change,-0.04
35240,35510,Chile,2007,May,Methane,14914.823,Temperature change,-1.248
35242,35512,Chile,2007,June,Methane,14914.823,Temperature change,-0.629
35244,35514,Chile,2007,July,Methane,14914.823,Temperature change,-0.792
35246,35516,Chile,2007,August,Methane,14914.823,Temperature change,-1.3219999999999998
35248,35518,Chile,2007,September,Methane,14914.823,Temperature change,0.006
35250,35520,Chile,2007,October,Methane,14914.823,Temperature change,-0.10300000000000001
35252,35522,Chile,2007,November,Methane,14914.823,Temperature change,-0.644
35254,35524,Chile,2007,December,Methane,14914.823,Temperature change,-0.248
35256,35526,Chile,2008,January,Methane,14263.053,Temperature change,0.932
35258,35528,Chile,2008,February,Methane,14263.053,Temperature change,1.247
35260,35530,Chile,2008,March,Methane,14263.053,Temperature change,0.82
35262,35532,Chile,2008,April,Methane,14263.053,Temperature change,0.305
35264,35534,Chile,2008,May,Methane,14263.053,Temperature change,-0.594
35266,35536,Chile,2008,June,Methane,14263.053,Temperature change,-0.017
35268,35538,Chile,2008,July,Methane,14263.053,Temperature change,0.605
35270,35540,Chile,2008,August,Methane,14263.053,Temperature change,-0.268
35272,35542,Chile,2008,September,Methane,14263.053,Temperature change,0.5760000000000001
35274,35544,Chile,2008,October,Methane,14263.053,Temperature change,0.49200000000000005
35276,35546,Chile,2008,November,Methane,14263.053,Temperature change,0.747
35278,35548,Chile,2008,December,Methane,14263.053,Temperature change,1.1059999999999999
35280,35550,Chile,2009,January,Methane,13916.409,Temperature change,0.583
35282,35552,Chile,2009,February,Methane,13916.409,Temperature change,0.498
35284,35554,Chile,2009,March,Methane,13916.409,Temperature change,1.0290000000000001
35286,35556,Chile,2009,April,Methane,13916.409,Temperature change,1.43
35288,35558,Chile,2009,May,Methane,13916.409,Temperature change,0.657
35290,35560,Chile,2009,June,Methane,13916.409,Temperature change,0.502
35292,35562,Chile,2009,July,Methane,13916.409,Temperature change,0.001
35294,35564,Chile,2009,August,Methane,13916.409,Temperature change,0.76
35296,35566,Chile,2009,September,Methane,13916.409,Temperature change,-0.163
35298,35568,Chile,2009,October,Methane,13916.409,Temperature change,-0.223
35300,35570,Chile,2009,November,Methane,13916.409,Temperature change,-1.29
35302,35572,Chile,2009,December,Methane,13916.409,Temperature change,-0.35700000000000004
35304,35574,Chile,2010,January,Methane,13390.705,Temperature change,-0.12300000000000001
35306,35576,Chile,2010,February,Methane,13390.705,Temperature change,-0.503
